Szlak,Trudność,Śnieg (cm),Sprawdzono,Status,Kamera
Dolina Kościeliska → Ornak,Łatwy,0,26.09.2026 07:10,Otwarty,https://kamery.tatry.example/ornak
Morskie Oko → Czarny Staw,Łatwy,4,26.09.2026 06:45,Otwarty,https://kamery.tatry.example/morskie-oko
Dolina Chochołowska,Łatwy,0,26.09.2026 06:20,Otwarty,https://kamery.tatry.example/chocholowska
Sarnia Skała z Kuźnic,Łatwy,2,26.09.2026 07:40,Otwarty,https://kamery.tatry.example/sarnia
Dolina Pięciu Stawów,Średni,9,26.09.2026 08:05,Otwarty,https://kamery.tatry.example/piec-stawow
Giewont od Kuźnic,Średni,12,26.09.2026 05:55,Ostrożnie,https://kamery.tatry.example/giewont
Czerwone Wierchy granią,Trudny,30,25.09.2026 14:05,Ostrożnie,
Kasprowy Wierch → Świnica,Trudny,38,25.09.2026 15:20,Zamknięty,https://kamery.tatry.example/kasprowy
Przełęcz Zawrat,Trudny,45,25.09.2026 16:10,Zamknięty,
Rysy od Morskiego Oka,Trudny,52,24.09.2026 11:30,Zamknięty,https://kamery.tatry.example/rysy
